Year,Region Name,Country Code,Country Name,Total Number of Deaths,Number of Deaths Per 100000 of Population,World Bank Classification Region,World Bank Income Classification,Income Classification Code
2016,Oceania,AUS,Australia,1,0.3,East Asia & Pacific,High income,HIC
2016,Oceania,NZL,New Zealand,0,0,East Asia & Pacific,High income,HIC
2017,Africa,EGY,Egypt,361,11.1,Middle East & North Africa,Lower middle income,LMIC
2017,Africa,MUS,Mauritius,2,10.2,Sub-Saharan Africa,Upper middle income,UMIC
2017,Asia,ARM,Armenia,0,0,Europe & Central Asia,Upper middle income,UMIC
2017,Africa,SYC,Seychelles,0,0,Sub-Saharan Africa,High income,HIC
2017,Asia,BRN,Brunei Darussalam,0,0,East Asia & Pacific,High income,HIC
2017,Africa,ZAF,South Africa,894,52.5,Sub-Saharan Africa,Upper middle income,UMIC
2017,Asia,CYP,Cyprus,0,0,Europe & Central Asia,High income,HIC
2017,Asia,HKG,"China, Hong Kong SAR",1,1.9,East Asia & Pacific,High income,HIC
2017,Asia,GEO,Georgia,8,10.5,Europe & Central Asia,Upper middle income,UMIC
2017,Asia,IRN,Iran (Islamic Republic of),43,2.1,Middle East & North Africa,Upper middle income,UMIC
2017,Asia,ISR,Israel,0,0,Middle East & North Africa,High income,HIC
2017,Asia,JPN,Japan,3,0.2,East Asia & Pacific,High income,HIC
2017,Asia,JOR,Jordan,1,0.5,Middle East & North Africa,Lower middle income,LMIC
2017,Asia,KAZ,Kazakhstan,4,0.8,Europe & Central Asia,Upper middle income,UMIC
2017,Asia,KOR,Republic of Korea,0,0,East Asia & Pacific,High income,HIC
2017,Asia,KWT,Kuwait,1,0.4,Middle East & North Africa,High income,HIC
2017,Asia,KGZ,Kyrgyzstan,2,0.8,Europe & Central Asia,Lower middle income,LMIC
2017,Asia,MYS,Malaysia,6,0.8,East Asia & Pacific,Upper middle income,UMIC
2017,Asia,MDV,Maldives,0,0,South Asia,Upper middle income,UMIC
2017,Asia,MNG,Mongolia,4,5.9,East Asia & Pacific,Upper middle income,UMIC
